journey_option_flow_id,contextual_hint,step_question,option_text
148,Cansado(a) - Manter,"Para um filme que não exija esforço, você busca que ele seja...",...uma animação relaxante ou um filme com visuais tranquilos?
149,Cansado(a) - Manter,"Para um filme que não exija esforço, você busca que ele seja...","...seja puro entretenimento, para curtir sem pensar em nada?"
127,Cansado(a) - Processar,"Para relaxar e descarregar, você busca um filme que...",...seja leve e divertido para desligar a mente?
128,Cansado(a) - Processar,"Para relaxar e descarregar, você busca um filme que...",...ofereça um conforto aconchegante e uma sensação familiar?
129,Cansado(a) - Processar,"Para relaxar e descarregar, você busca um filme que...",...te permita escapar completamente da realidade?
183,Cansado(a) - Processar,"Para relaxar e descarregar, você busca um filme que...",...te envolva com visuais tranquilos e uma história sem pressa?
134,Cansado(a) - Transformar,"Para recarregar as energias e se animar, você busca um filme que...",...te inspire com a superação de grandes desafios e a força da resiliência?
135,Cansado(a) - Transformar,"Para recarregar as energias e se animar, você busca um filme que...",...te motive com a realização de sonhos ambiciosos e a busca por excelência?
136,Cansado(a) - Transformar,"Para recarregar as energias e se animar, você busca um filme que...",...seja uma explosão de bom humor e energia contagiante?
137,Cansado(a) - Transformar,"Para recarregar as energias e se animar, você busca um filme que...",...te leve a uma jornada de autodescoberta e um novo olhar sobre a vida?
5,Feliz / Alegre - Explorar,"Para explorar a felicidade em suas diferentes formas, você busca um filme que...",...apresente diferentes culturas e visões sobre a alegria e o bem-estar?
177,Feliz / Alegre - Explorar,"Para explorar a felicidade em suas diferentes formas, você busca um filme que...",...explore a felicidade através de uma jornada de autodescoberta e propósito?
178,Feliz / Alegre - Explorar,"Para explorar a felicidade em suas diferentes formas, você busca um filme que...",...mergulhe nas nuances e no funcionamento interno das emoções positivas?
179,Feliz / Alegre - Explorar,"Para explorar a felicidade em suas diferentes formas, você busca um filme que...",...revele a alegria e o significado nos pequenos momentos e na simplicidade da vida?
10,Feliz / Alegre - Manter,"O filme ideal pode ajudar a prolongar essa sensação e manter essa vibe, você busca que ele seja...",...provoque muitas risadas com humor ácido e situações inusitadas para descontrair?
11,Feliz / Alegre - Manter,"O filme ideal pode ajudar a prolongar essa sensação e manter essa vibe, você busca que ele seja...",...um calor no coração com histórias adoráveis e reconfortantes?
12,Feliz / Alegre - Manter,"O filme ideal pode ajudar a prolongar essa sensação e manter essa vibe, você busca que ele seja...",...uma animação encantadora ou com visuais relaxantes?
13,Feliz / Alegre - Manter,"O filme ideal pode ajudar a prolongar essa sensação e manter essa vibe, você busca que ele seja...",...uma dose de nostalgia e boas lembranças para aquecer a alma?
24,Feliz / Alegre - Processar,"Para amplificar essa alegria, que filme você busca?",...que me faça rir fácil e um humor contagiante?
25,Feliz / Alegre - Processar,"Para amplificar essa alegria, que filme você busca?",...provoque um calor no coração e uma sensação adorável?
26,Feliz / Alegre - Processar,"Para amplificar essa alegria, que filme você busca?",...seja empolgante e cheio de energia?
27,Feliz / Alegre - Processar,"Para amplificar essa alegria, que filme você busca?",...me faça reviver boas lembranças ou momentos nostálgicos?
6,Feliz / Alegre - Transformar,"Para direcionar essa energia ou surpreender, que filme busca?",...te ofereça pura adrenalina e ação sem parar?
7,Feliz / Alegre - Transformar,"Para direcionar essa energia ou surpreender, que filme busca?",...te emocione com um romance tocante e que faça refletir sobre o amor?
8,Feliz / Alegre - Transformar,"Para direcionar essa energia ou surpreender, que filme busca?",...te prenda com um mistério inteligente e reviravoltas?
9,Feliz / Alegre - Transformar,"Para direcionar essa energia ou surpreender, que filme busca?",...um universo de fantasia com magia e seres incríveis?
43,Triste - Explorar,"Para investigar a tristeza, você busca um filme que revele...",...as complexidades psicológicas e internas da tristeza?
44,Triste - Explorar,"Para investigar a tristeza, você busca um filme que revele...",...o impacto da tristeza em diferentes contextos sociais ou existenciais?
45,Triste - Explorar,"Para investigar a tristeza, você busca um filme que revele...",...nuances da melancolia em histórias e personagens únicos?
46,Triste - Explorar,"Para investigar a tristeza, você busca um filme que revele...",...como a tristeza pode ser um caminho para a autodescoberta ou um novo olhar sobre a vida?
32,Triste - Manter,"Certo. Dentro dessa intensidade emocional, você se inclina mais para...",A complexidade das relações humanas e o isolamento?
33,Triste - Manter,"Certo. Dentro dessa intensidade emocional, você se inclina mais para...",Uma jornada de superação pessoal em meio à adversidade?
34,Triste - Manter,"Certo. Dentro dessa intensidade emocional, você se inclina mais para...",Histórias de conexão e pertencimento para aquecer o coração?
52,Triste - Manter,"Certo. Dentro dessa intensidade emocional, você se inclina mais para...","Um drama pessoal, uma história de perda, ou algo que explore a fragilidade da condição humana?"
82,Triste - Processar,"Para elaborar essa tristeza, você busca um filme que te ajude a...",...desabafar e liberar emoções?
83,Triste - Processar,"Para elaborar essa tristeza, você busca um filme que te ajude a...",...encontrar inspiração e resiliência diante da dor?
84,Triste - Processar,"Para elaborar essa tristeza, você busca um filme que te ajude a...",...me sentir compreendido(a) e encontrar conforto na identificação?
107,Triste - Processar,"Para elaborar essa tristeza, você busca um filme que te ajude a...",...refletir de forma serena sobre a melancolia e a passagem do tempo?
158,Triste - Transformar,"Entendi. Para esse escape, você estaria mais a fim de...",...uma comédia leve e talvez um pouco bobinha para distrair a mente?
159,Triste - Transformar,"Entendi. Para esse escape, você estaria mais a fim de...",...uma animação divertida e colorida
160,Triste - Transformar,"Entendi. Para esse escape, você estaria mais a fim de...",...uma aventura leve e sem grandes dramas?
176,Triste - Transformar,"Entendi. Para esse escape, você estaria mais a fim de...",...uma comédia romântica com um final feliz garantido?
14,null,Nostalgia! Você tem preferência por filmes de...,"...uma certa época da sua vida (infância, adolescência)?"
15,null,Nostalgia! Você tem preferência por filmes de...,...filmes clássicos que marcaram uma geração?
20,null,Excelente! Você prefere um humor mais...,"...escancarado e com situações inusitadas, beirando absurdos?"
21,null,Excelente! Você prefere um humor mais...,...inteligente e com diálogos afiados?
